id,name,diameter_min_km,orbits,orbit_dates
3576728,(2011 QJ21),0.0334622374,['(2011 QJ21)'],['2020-01-09']
3678563,(2014 OY337),0.1838886721,['(2014 OY337)'],['2020-01-03']
3252104,(2004 RO111),0.0608912622,"['(2004 RO111)', '(2004 RO111)', '(2004 RO111)', '(2004 RO111)', '(2004 RO111)']","['2020-01-04', '2019-07-18', '2019-02-21', '2018-05-15', '2017-05-26']"
2281365,281365 (2008 CM116),0.8801465209,"['281365 (2008 CM116)', '281365 (2008 CM116)']","['2020-01-07', '2017-11-28']"
3825569,(2018 NF1),0.0319561887,"['(2018 NF1)', '(2018 NF1)', '(2018 NF1)']","['2020-01-10', '2019-02-17', '2018-07-12']"
3959233,(2019 YN4),0.0732073989,"['(2019 YN4)', '(2019 YN4)']","['2020-01-03', '2019-04-11']"
3762439,(2016 UT80),0.4212646106,['(2016 UT80)'],['2020-01-09']
3843208,(2019 NB5),0.2315021222,"['(2019 NB5)', '(2019 NB5)', '(2019 NB5)']","['2020-01-06', '2019-08-16', '2018-07-17']"
2018172,18172 (2000 QL7),2.0162991944,['18172 (2000 QL7)'],['2020-01-08']
3739153,(2015 YE18),0.7665755735,['(2015 YE18)'],['2020-01-07']
